brand,model,driven,gear,year,price
Hyundai,Tucson,83491.0,Automatic,2018,64000.0
Chevrolet,Trailblazer,222000.0,Automatic,2009,20000.0
Great,Wall,0.0,Automatic,2022,135000.0
Ford,Fusion,178000.0,Automatic,2012,23000.0
Mitsubishi,Attrage,10500.0,Automatic,2020,32000.0
Honda,HR-V,1000.0,Automatic,2021,80000.0
Hyundai,Accent,68000.0,Automatic,2016,24000.0
Ford,Explorer,49000.0,Automatic,2015,69000.0
Nissan,Sentra,149000.0,CVT,2014,23000.0
Ford,Explorer,49000.0,Automatic,2015,69000.0
Toyota,Yaris,118000.0,Automatic,2017,30000.0
Ford,Focus,280000.0,Automatic,2010,10500.0
MG,3,325889.0,Automatic,2008,13000.0
Toyota,Camry,410000.0,Automatic,2006,10000.0
Chevrolet,Cruze,200000.0,Manual,2010,12000.0
Dodge,Charger,389000.0,Automatic,2008,15500.0
Toyota,Camry,163000.0,Automatic,2017,60000.0
BMW,3,124000.0,Automatic,2014,64000.0
Kia,Cerato,1640000.0,Automatic,2012,33000.0
Toyota,Land,152000.0,Automatic,2011,63000.0
Ford,Expedition,127000.0,Automatic,2012,52500.0
Ford,Expedition,110000.0,Automatic,2012,57750.0
Ford,Figo,51553.0,Automatic,2016,20999.0
Ford,Expedition,112000.0,Automatic,2012,52500.0
Ford,Figo,33643.0,Automatic,2016,20999.0
Ford,Focus,125041.0,Automatic,2012,16999.0
Ford,Figo,61105.0,Automatic,2016,20999.0
Ford,Taurus,80040.0,Automatic,2015,58999.0
Ford,Taurus,5318.0,Automatic,2017,95000.0
Ford,Taurus,167219.0,Automatic,2013,39000.0
Ford,Taurus,99421.0,Automatic,2014,48000.0
Ford,Taurus,55012.0,Automatic,2016,70000.0
Ford,Figo,23172.0,Automatic,2016,20999.0
Ford,Fusion,36900.0,Automatic,2017,64999.0
Ford,Escape,66323.0,Automatic,2015,44999.0
Ford,Figo,31038.0,Automatic,2016,20999.0
Ford,Taurus,191302.0,Automatic,2013,33999.0
Ford,Figo,20190.0,Automatic,2016,20999.0
Ford,Figo,20221.0,Automatic,2016,20999.0
Ford,Figo,26993.0,Automatic,2016,20999.0
Ford,Explorer,136586.0,Automatic,2012,44999.0
Ford,Explorer,53035.0,Automatic,2014,62999.0
Lincoln,MKS,22456.0,Automatic,2015,79999.0
Lincoln,Continental,105.0,Automatic,2017,235999.0
Ford,Expedition,105100.0,Automatic,2013,53999.0
Ford,Explorer,89000.0,Automatic,2013,54999.0
Ford,Edge,145150.0,Automatic,2013,55999.0
Ford,Taurus,147600.0,Automatic,2013,39999.0
Ford,Raptor,644.0,Automatic,2017,299999.0
Ford,EcoSport,186000.0,Automatic,2014,23000.0
Ford,Focus,93700.0,Automatic,2014,24999.0
Ford,Edge,157000.0,Automatic,2013,43999.0
Ford,Expedition,165.0,Automatic,2017,124999.0
Cadillac,CTS,107024.0,Automatic,2014,77000.0
Cadillac,CTS,68000.0,Automatic,2014,83000.0
Ford,Ranger,43961.0,Manual,2016,54999.0
Toyota,Corolla,43814.0,Automatic,2016,49999.0
Ford,Explorer,132368.0,Automatic,2013,54999.0
Ford,Explorer,18900.0,Automatic,2016,129999.0
Ford,Expedition,147.0,Automatic,2017,139999.0
Ford,Edge,1682.0,Automatic,2017,134999.0
Ford,Explorer,853.0,Automatic,2017,135999.0
Toyota,Corolla,18652.0,Automatic,2016,50000.0
Ford,Expedition,500.0,Automatic,2017,144999.0
Ford,Taurus,1606.0,Automatic,2017,110000.0
Ford,Explorer,68114.0,Automatic,2015,63999.0
Ford,Fusion,95395.0,Automatic,2014,33000.0
Ford,Taurus,85.0,Automatic,2017,109999.0
Ford,Edge,71188.0,Automatic,2012,50400.0
Ford,Expedition,3960.0,Automatic,2017,150150.0
Toyota,Camry,39706.0,Automatic,2015,52500.0
Toyota,Camry,90109.0,Automatic,2015,49999.0
Toyota,Camry,49210.0,Automatic,2015,51999.0
Toyota,Camry,42249.0,Automatic,2015,52500.0
Ford,Explorer,14000.0,Automatic,2017,159999.0
Ford,Expedition,92618.0,Automatic,2014,59999.0
Ford,Edge,18815.0,Automatic,2013,51729.0
Ford,Expedition,68281.0,Automatic,2016,90999.0
Ford,Taurus,35000.0,Automatic,2015,94500.0
Lincoln,Continental,680.0,Automatic,2017,284999.0
Lincoln,Continental,10300.0,Automatic,2017,259999.0
Ford,Fusion,17110.0,Automatic,2016,48999.0
Ford,Focus,48854.0,Automatic,2013,20000.0
Ford,Fusion,14505.0,Automatic,2016,44999.0
Ford,Focus,27202.0,Automatic,2016,44999.0
Toyota,Camry,50287.0,Automatic,2015,51450.0
Ford,Expedition,6214.0,Automatic,2016,102999.0
Ford,Edge,606.0,Automatic,2017,134999.0
Lincoln,Navigator,102500.0,Automatic,2012,84000.0
Ford,Expedition,13333.0,Automatic,2016,94999.0
Ford,Taurus,26900.0,Automatic,2016,73000.0
Ford,Ranger,8184.0,Manual,2011,24999.0
Ford,Expedition,155766.0,Automatic,2013,54999.0
Ford,Flex,2700.0,Automatic,2016,93450.0
Ford,Edge,361.0,Automatic,2017,109999.0
Ford,Mustang,7796.0,Automatic,2017,156000.0
Ford,Expedition,1218.0,Automatic,2017,142999.0
Ford,Expedition,92823.0,Automatic,2015,73499.0
Ford,Ranger,90033.0,Manual,2011,22999.0
Ford,Edge,1130.0,Automatic,2017,100500.0
Ford,Expedition,92409.0,Automatic,2013,54999.0
Lincoln,MKX,35667.0,Automatic,2016,167999.0
Ford,Edge,1682.0,Automatic,2017,134999.0
Ford,Mustang,15878.0,Automatic,2017,189000.0
Ford,Expedition,2129.0,Automatic,2017,155999.0
Ford,Edge,2774.0,Automatic,2017,134999.0
Ford,Edge,335.0,Automatic,2017,134999.0
Ford,Taurus,22114.0,Automatic,2017,99999.0
Ford,Edge,727.0,Automatic,2017,129999.0
Ford,Edge,21.0,Automatic,2017,111300.0
Ford,Edge,4422.0,Automatic,2017,134999.0
Ford,Expedition,16834.0,Automatic,2017,149999.0
Ford,Explorer,165500.0,Automatic,2013,52499.0
Ford,Taurus,7000.0,Automatic,2017,142800.0
Ford,Expedition,118300.0,Automatic,2012,52500.0
Ford,Expedition,1243.0,Automatic,2017,165999.0
Ford,Focus,1739.0,Automatic,2017,42000.0
Ford,Edge,255.0,Automatic,2017,124999.0
Ford,Fusion,22603.0,Automatic,2015,45000.0
Ford,Edge,71188.0,Automatic,2012,57750.0
Ford,Expedition,82604.0,Automatic,2012,52498.0
Ford,Edge,56723.0,Automatic,2014,59999.0
Ford,Edge,4483.0,Automatic,2017,120750.0
Ford,Expedition,561.0,Automatic,2017,126000.0
Ford,Expedition,83800.0,Automatic,2014,78750.0
Ford,Ranger,35511.0,Manual,2016,60900.0
